"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U14";"DIP-24_W7.62mm_Socket_LongPads";1;"GAL22V10D";;;
2;"C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2,C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";14;"100nF";;;
3;"SW3";"SW_DIP_SPSTx02_Piano_10.8x6.64mm_W7.62mm_P2.54mm";1;"ROM_JOY";;;
4;"J1";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"Kempston";;;
5;"U5";"DIP-28_W15.24mm_Socket_LongPads";1;"W27E257";;;
6;"R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"4K7";;;
7;"R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1K";;;
8;"SW2";"SW_PUSH_6mm_H13mm";1;"MF3_ACT";;;
9;"SW1";"SW_PUSH_6mm_H13mm";1;"RESET";;;
10;"CN1";"ZX_CONNECTOR_GENERIC_SORTED";1;"ZX_Plus3_EDGE";;;
11;"R2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"680R";;;
12;"C15";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1nF";;;
13;"U9,U7,U3";"DIP-14_W7.62mm_Socket_LongPads";3;"74LS74";;;
14;"U11,U13,U12,U10,U4";"DIP-14_W7.62mm_Socket_LongPads";5;"74LS32";;;
15;"U6";"DIP-28_W15.24mm_Socket_LongPads";1;"6264";;;
16;"HOLE4,HOLE2,HOLE1,HOLE3";"MountingHole_3.5mm_Pad_Via";4;"MountingHole_3.5mm_Pad_Via";;;
17;"U8";"DIP-20_W7.62mm_Socket_LongPads";1;"GAL16V8B";;;
18;"U2";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS125";;;
19;"U1";"DIP-16_W7.62mm_Socket_LongPads";1;"74LS670N";;;
20;"D1";"LED_D3.0mm";1;"LED";;;
